org_ein,state,state_name,name,address,city,fips,ruledate,nteecc,region,division
370765550,IL,Illinois,SPRINGFIELD URBAN LEAGUE INC,100 N 11TH ST,SPRINGFIELD,17167,1959,P22,Midwest,East North Central
370841562,IL,Illinois,CHRISTIAN HOMES INC,200 N POSTVILLE DR,LINCOLN,17107,1967,P75,Midwest,East North Central
370864527,IL,Illinois,DECATUR-MACON COUNTY OPPORTUNITIES CORPORATION,1122 E MARIETTA ST,DECATUR,17115,1969,P20,Midwest,East North Central
370867327,IL,Illinois,EAST CENTRAL IL COMMUNITY ACTION AGENCY,56 N VERMILION ST,DANVILLE,17183,1966,P20,Midwest,East North Central
370888749,IL,Illinois,SHAWNEE DEVELOPMENT COUNCIL INC,530 W WASHINGTON,KARNAK,17153,1966,P20,Midwest,East North Central
370890281,IL,Illinois,EMBARRAS RIVER BASIN AGENCY INC,PO BOX 307,GREENUP,17035,1967,S20,Midwest,East North Central
370892145,IL,Illinois,WESTERN EGYPTIAN ECONOMIC OPPORTUNITY COUNCIL INC,PO BOX 7,STEELEVILLE,17157,1966,P20,Midwest,East North Central
370899785,IL,Illinois,BCMW COMMUNITY SERVICES,PO BOX 729,CENTRALIA,17121,1967,S50,Midwest,East North Central
370903245,IL,Illinois,MID CENTRAL COMMUNITY ACTION,1301 W WASHINGTON STREET,BLOOMINGTON,17113,1966,P20,Midwest,East North Central
370918495,IL,Illinois,COMMUNITY HOUSING CORP,1720 N GREAT OAK RD,PEORIA,17143,1971,L50,Midwest,East North Central
370918811,IL,Illinois,COMMON PLACE INC,1020 S MATTHEW ST,PEORIA,17143,1978,P20,Midwest,East North Central
371028276,IL,Illinois,MADISON COUNTY URBAN LEAGUE INC,408 E BROADWAY,ALTON,17119,1977,P22,Midwest,East North Central
371039095,IL,Illinois,ALDERSGATE COMMUNITY DEVELOPMENT CENTER,715 N 80TH ST,EAST ST LOUIS,17163,1989,S20,Midwest,East North Central
371074161,IL,Illinois,LITTLE EGYPT HOUSING DEVELOPMENT LITTLE EGYPT APTS,PO BOX 168,CAIRO,17003,1982,L20,Midwest,East North Central
371089178,IL,Illinois,LEWISTOWN AREA COMMUNITY DEVELOPMENT CORPORATION,401 N ILLINOIS STREET,LEWISTOWN,17057,2016,L20,Midwest,East North Central
371119231,IL,Illinois,ST CLAIR COUNTY COMMUNITY ACTION AGENCY,19 PUBLIC SQ STE 200,BELLEVILLE,17163,1992,S20,Midwest,East North Central
371132213,IL,Illinois,ST SHARBELS MARONITE HOUSING CORPORATION,2914 W SCENIC DRIVE,PEORIA,17143,1983,L21,Midwest,East North Central
371173520,IL,Illinois,SOUTH SIDE OFFICE OF CONCERN,202 NE MADISON AVE,PEORIA,17143,1985,P20,Midwest,East North Central
371192779,IL,Illinois,EAST BLUFF NEIGHBORHOOD HOUSING SERVICES INC,1839 N WISCONSIN AVE,PEORIA,17143,1986,L22,Midwest,East North Central
371193145,IL,Illinois,ADVOCATES FOR ACCESS,4450 N PROSPECT RD STE C8,PEORIA HTS,17143,1991,P80,Midwest,East North Central
371193288,IL,Illinois,CROSSWALK COMMUNITY ACTION AGENCY INC,410 W MAIN ST,W FRANKFORT,17055,1987,S30,Midwest,East North Central
371210209,IL,Illinois,NEAR WEST SIDE RESTORATION AND PRESERVATION SOCIETY,861 W WILLIAM ST,DECATUR,17115,1989,S30,Midwest,East North Central
